年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2018,30021,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,5,133,51,75,上海县
2019,30022,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,6,1051,59,77,郑州县
2019,30023,亳州,亳州市谯城区乡镇机关,综合管理,本科,中国语言文学类、新闻传播学类、法学类,5,110,49,69,武汉市
2018,30024,亳州,亳州市谯城区乡镇机关,综合管理,本科,经济学类、金融学类、经济与贸易类、统计学类,5,73,68,72,宇县
2014,30025,亳州,亳州市谯城区乡镇机关,综合管理,本科,农业工程类、农业经济管理类、植物生产类,4,58,47,74,哈尔滨县
2019,30026,亳州,亳州市谯城区街道办事处,综合管理,本科,计算机类、电子信息类、中国语言文学类,6,195,55,72,玲市
2017,30027,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,1,135,78,73,张家港县
2021,30028,亳州,谯城区乡镇机关,综合管理,本科,不限,1,47,74,67,丹丹市
2019,30029,亳州,涡阳县人大常委会机关,机关综合,本科,中国语言文学类、经济学类、法学类,1,107,62,78,平市
2021,30030,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,4,86,49,65,北镇市
2016,30031,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1,1,49,68,燕县
2022,30032,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,5,1,77,68,上海市
2013,30033,亳州,涡阳县人民法院,法官助理,本科,法学类（不含特设专业）,5,69,56,69,畅县
2015,30034,亳州,涡阳县人民法院,司法行政人员,本科,图书情报与档案管理类,1,68,74,72,辛集市
2018,30035,亳州,涡阳县人民法院,司法行政人员,本科,不限,4,65,60,58,海燕市
2022,30036,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,2,1,67,78,平市
2013,30037,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,106,56,64,宁德县
2016,30038,亳州,涡阳县人民检察院,司法行政,本科,不限,1,20,58,75,海燕市
2016,30039,亳州,涡阳县人民政府办公室,综合文字,本科,法学类（不含特设专业）、经济学类、汉语言文学专业、秘书学专业、新闻学专业、行政管理专业,1,1,75,75,香港市
2022,30040,亳州,涡阳县经济和信息化局,工业经济管理,本科,经济学门类,1,1,68,78,玲市
2018,30041,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,8,105,69,77,玲市
2013,30042,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,7,919,75,79,哈尔滨县
2017,30043,亳州,亳州市谯城区乡镇机关,综合管理,本科,中国语言文学类、新闻传播学类、法学类,8,24,79,67,佛山县
2016,30044,亳州,亳州市谯城区乡镇机关,综合管理,本科,经济学类、金融学类、经济与贸易类、统计学类,7,118,58,71,上海市
2013,30045,亳州,亳州市谯城区乡镇机关,综合管理,本科,农业工程类、农业经济管理类、植物生产类,8,76,66,69,齐齐哈尔市
2015,30046,亳州,亳州市谯城区街道办事处,综合管理,本科,计算机类、电子信息类、中国语言文学类,1,82,71,70,郑州市
2016,30047,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,2,67,60,75,玲市
2016,30048,亳州,谯城区乡镇机关,综合管理,本科,不限,1,1,61,64,荣县
2015,30049,亳州,涡阳县人大常委会机关,机关综合,本科,中国语言文学类、经济学类、法学类,1,110,85,76,哈尔滨县
2020,30050,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,4,24,42,64,宇县
2018,30051,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1,44,58,70,哈尔滨县
2015,30052,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1,1,77,73,丽市
2022,30053,亳州,涡阳县人民法院,法官助理,本科,法学类（不含特设专业）,1,98,45,66,兴安盟市
2014,30054,亳州,涡阳县人民法院,司法行政人员,本科,图书情报与档案管理类,1,1,53,75,武汉市
2015,30055,亳州,涡阳县人民法院,司法行政人员,本科,不限,2,50,67,56,西宁县
2019,30056,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,2,1,71,77,畅县
2019,30057,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,4,1,68,70,畅县
2017,30058,亳州,涡阳县人民检察院,司法行政,本科,不限,1,14,65,77,宇县
2016,30059,亳州,涡阳县人民政府办公室,综合文字,本科,法学类（不含特设专业）、经济学类、汉语言文学专业、秘书学专业、新闻学专业、行政管理专业,1,1,81,65,丽市
2015,30060,亳州,涡阳县经济和信息化局,工业经济管理,本科,经济学门类,3,23,70,77,娟县
2016,30061,亳州,涡阳县司法局,司法行政,本科,法学类（不含特设专业）,5,50,43,68,杰市
2013,30062,亳州,涡阳县街道机关,人武专干,专科,不限,3,18,72,66,俊市
2016,30063,亳州,涡阳县乡镇机关,人武专干,专科,不限,1,1,63,66,兴安盟市
2017,30064,亳州,涡阳县街道机关,综合管理,本科,公共管理类,1,62,55,66,俊市
2017,30065,亳州,涡阳县街道机关,综合管理,本科,农学门类,1,1,84,72,郑州市
2017,30066,亳州,涡阳县乡镇机关,综合管理,本科,不限,10,47,46,76,上海市
2015,30067,亳州,涡阳县乡镇机关,综合管理,专科,不限,5,404,88,75,芳县
2022,30068,亳州,涡阳县乡镇机关,综合管理,本科,不限,5,35,57,68,瑜市
2020,30069,亳州,涡阳县乡镇机关,综合管理,本科,不限,1,173,55,79,海口市
2014,30070,亳州,中共蒙城县委办公室,机关综合,本科,工学门类、农学门类、法学门类、经济学门类、管理学门类、中国语言文学类,1,180,78,76,芳县
2021,30071,亳州,蒙城县人大常委会机关,机关综合,本科,中国语言文学类,1,1,62,69,南京市
2022,30072,亳州,中共蒙城县纪委监委机关,纪检监察,本科,法学专业、侦查学专业、经济犯罪侦查专业、技术侦查学专业,7,1,69,70,北镇市
2017,30073,亳州,蒙城县人民法院,法官助理,本科,法学类（不含特设专业）,1,32,69,72,海口市
2014,30074,亳州,蒙城县人民法院,司法行政人员,本科,不限,1,1,65,64,斌市
2020,30075,亳州,蒙城县人民法院,司法行政人员,本科,会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,50,59,61,上海县
2021,30076,亳州,蒙城县人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、罪犯心理测量与矫正技术专业、行政执行专业、戒毒矫治技术专业、司法信息安全专业、司法警务专业,3,1,51,62,宇县
2014,30077,亳州,蒙城县人民检察院,检察官助理,本科,法学类（不含特设专业）,3,79,69,75,北镇市
2021,30078,亳州,蒙城县人民检察院,司法行政,本科,马克思主义理论类、中国语言文学类,3,1,56,64,燕县
2014,30079,亳州,蒙城县人民政府办公室,机关综合,本科,不限,1,85,81,78,郑州县
2015,30080,亳州,蒙城县人民政府办公室,机关综合,本科,不限,1,1,76,69,俊市
2019,30081,亳州,蒙城县经济和信息化局,经济管理,本科,经济学类,1,52,68,66,香港市
2018,30082,亳州,蒙城县财政局,财政管理,本科,财政学类,1,1,58,73,巢湖市
2017,30083,亳州,蒙城县自然资源和规划局,机关综合,本科,不限,3,68,64,77,宁德县
2014,30084,亳州,蒙城县农业农村局,政策法规宣传,本科,法学类（不含特设专业）,4,109,79,66,上海县
2015,30085,亳州,蒙城县农业农村局,农业经济管理,本科,农业经济管理类,1,1,52,75,上海县
2022,30086,亳州,蒙城县卫生健康委员会,卫生事务管理,本科,预防医学专业、妇幼保健医学专业、卫生监督专业、全球健康学专业,4,1,70,72,燕县
2016,30087,亳州,蒙城县应急管理局,法务管理,本科,法学类（不含特设专业）,1,1,52,73,齐齐哈尔县
2020,30088,亳州,蒙城县市场监督管理局,市场综合管理,本科,食品科学与工程类、药学专业、机械设计制造及其自动化专业、能源与动力工程专业,1,119,69,69,张家港县
2020,30089,亳州,蒙城县市场监督管理局,市场监管,本科,法学类（不含特设专业）,4,40,47,62,秀芳县
2022,30090,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,3,125,71,78,福州市
2019,30091,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,1,118,75,78,福州市
2020,30092,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,3,1,49,73,海口市
2015,30093,亳州,蒙城县医疗保障局,政策法规宣传,本科,法学类（不含特设专业）,2,1,82,68,畅县
2021,30094,亳州,蒙城县公安局,人民警察,专科,不限,4,1,82,60,上海市
2022,30095,亳州,蒙城县机关事务管理中心,公务车辆管理,本科,车辆工程专业、汽车服务工程专业、汽车维修工程教育专业、新能源汽车工程专业,1,127,62,67,哈尔滨市
2013,30096,亳州,蒙城县机关事务管理中心,后勤服务,本科,旅游管理类,1,74,88,74,上海县
2020,30097,亳州,蒙城县应急管理局县救灾减灾中心,应急综合管理,本科,计算机科学与技术专业、软件工程专业、网络工程专业、电子与计算机工程专业,3,1,50,61,杰市
2016,30098,亳州,蒙城县财政局县非税收入征收管理服务中心,非税业务管理,本科,会计学专业、财务管理专业、审计学专业、人力资源管理专业,1,89,90,82,芳县
2021,30099,亳州,蒙城县农业农村局县农业机械事业发展中心,机关综合,本科,中国语言文学类、新闻学专业,1,63,51,79,张家港县
2013,30100,亳州,蒙城县文化旅游体育局县文化事业发展中心,体育事业管理,本科,社会体育指导与管理专业、休闲体育专业、体育旅游专业、智能体育工程专业,3,47,81,65,福州市
2022,30101,亳州,蒙城县文化旅游体育局县文化事业发展中心,机关综合,本科,不限,3,71,76,76,辛集市
2015,30102,亳州,蒙城县街道办事处,综合管理,本科,中国语言文学类,4,74,60,65,志强县
2013,30103,亳州,蒙城县街道办事处,综合管理,本科,农业经济管理类,1,1,53,69,丽市
2018,30104,亳州,蒙城县街道办事处,综合管理,本科,不限,1,1,51,72,哈尔滨市
2016,30105,亳州,蒙城县街道办事处,经济管理,本科,经济学门类、统计学专业、法学类（不含特设专业）,1,1,52,75,福州市
2016,30106,亳州,蒙城县乡镇机关,综合管理,本科,不限,4,1,47,68,辛集市
2021,30107,亳州,蒙城县乡镇机关,综合管理,专科,不限,1,317,49,77,海燕市
2015,30108,亳州,蒙城县乡镇机关,综合管理,本科,不限,2,308,61,80,昆明县
2019,30109,亳州,蒙城县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,2,1,67,64,兴安盟市
2013,30110,亳州,中共利辛县委办公室,机关综合,本科,汉语言文学类、公共管理类,1,90,71,68,哈尔滨市
2018,30111,亳州,中共利辛县纪委监委机关,纪检监察,本科,不限,1,108,73,64,武汉县
2015,30112,亳州,中共利辛县纪委监委机关,纪检监察,本科,法学类（不含特设专业）,5,21,58,71,武汉县
2021,30113,亳州,中共利辛县委巡察工作领导小组办公室,巡视巡察,本科,法学类（不含特设专业）、公共管理类,3,87,58,71,芳县
2014,30114,亳州,利辛县人民法院,法官助理,本科,法学类（不含特设专业）,2,101,63,75,齐齐哈尔县
2016,30115,亳州,利辛县人民法院,综合业务,本科,法学类（不含特设专业）,1,77,82,61,秀芳县
2020,30116,亳州,利辛县人民法院,司法行政人员,本科,不限,1,1,80,74,昆明县
2022,30117,亳州,利辛县人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、罪犯心理测量与矫正技术专业、行政执行专业、戒毒矫治技术专业、司法信息安全专业、司法警务专业,2,9,75,73,西宁县
2020,30118,亳州,利辛县人民检察院,检察官助理,本科,法学类（不含特设专业）,5,47,79,68,玲市
2017,30119,亳州,利辛县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,64,69,上海县
2020,30120,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,5,35,49,68,宇县
2021,30121,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,1,48,47,62,海口市
2017,30122,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,5,41,79,63,娟县
2014,30123,亳州,利辛县司法局,信息管理,本科,计算机类、电子信息类,1,141,49,67,齐齐哈尔市
2016,30124,亳州,利辛县司法局,机关综合,本科,不限,4,21,79,75,海燕市
2020,30125,亳州,利辛县公安局,法医★,本科,法医学类、临床医学专业,1,19,74,68,丽市
2021,30126,亳州,利辛县公安局,网络安全管理★,本科,网络空间安全专业、网络工程专业、软件工程专业、电子与计算机工程专业、信息工程专业,1,1,84,67,海燕市
2019,30127,亳州,利辛县公安局,人民警察,本科,不限,5,144,73,80,海口市
2016,30128,亳州,利辛县公安局,人民警察,专科,不限,1,1,61,60,杰市
2021,30129,亳州,利辛县发展和改革委员会,经济管理,本科,经济学类,1,9,57,81,郑州县
2021,30130,亳州,利辛县发展和改革委员会,经济管理,本科,不限,3,13,83,73,郑州市
2019,30131,亳州,利辛县审计局,审计综合管理,本科,会计学专业、财务管理专业、审计学专业、财政学专业,3,20,60,82,兴安盟市
2013,30132,亳州,利辛县市场监督管理局,市场监管,本科,食品科学与工程类,1,142,85,75,北镇市
2020,30133,亳州,利辛县市场监督管理局,市场监管,本科,药学类、中药学类,5,43,69,77,昆明县
2013,30134,亳州,利辛县市场监督管理局,市场监管,本科,机械类、电气类、材料类,1,210,63,75,潜江县
2013,30135,亳州,利辛县市场监督管理局,市场监管,本科,不限,2,60,69,70,上海市
2018,30136,亳州,利辛县文化旅游体育局,行政管理,本科,管理学门类、汉语言文学专业、新闻学专业,1,60,64,75,哈尔滨市
2022,30137,亳州,利辛县数据资源管理局,信息系统管理,本科,计算机类,1,127,77,69,西宁县
2014,30138,亳州,利辛县乡镇机关,村镇建设管理,专科,不限,8,61,58,65,兴安盟市
2015,30139,亳州,利辛县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,2,111,48,69,杰市
2014,30140,亳州,利辛县乡镇机关,村镇建设管理,专科,不限,7,689,78,80,佛山县
2020,30141,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,2,55,77,73,杰市
2017,30142,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,2,10,49,74,西宁县
2019,30143,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,6,200,82,70,武汉县
2021,30144,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,8,123,56,71,娟县
2017,30145,亳州,谯城区乡镇机关,综合管理,高中（中专）,不限,2,1,0,0,北镇市
2022,30146,亳州,蒙城县乡镇机关,综合管理,高中（中专）,不限,1,1,0,0,武汉县
2013,90001,六安,中共六安市纪律检查委员会六安市监察委员会机关,执纪监督审查调查,本科,法学专业、法律专业、审计学专业、侦查学专业、经济犯罪侦查专业（具有法律职业资格证书A类的专业不限）,1,1,75,65,辛集市
2019,90002,六安,中共六安市纪律检查委员会六安市监察委员会派驻（出）机构,执纪监督审查调查,本科,法学专业、法律专业、审计学专业、侦查学专业、经济犯罪侦查专业（具有法律职业资格证书A类的专业不限）,1,1,51,76,西宁县
2019,90003,六安,六安市政协办公室,机关文秘,本科,哲学门类、文学门类、历史学门类、管理学门类、经济学门类、工学门类,3,216,87,71,福州市
2019,90004,六安,中国农工民主党六安市委员会,机关文秘,本科,不限,3,197,60,78,海口市
2013,90005,六安,六安老年大学办公室,教务管理,本科,广播电视编导专业、舞蹈编导专业、戏剧影视文学专业,1,163,50,75,海燕市
2018,90006,六安,六安老年大学办公室,教务管理,本科,戏剧学专业、戏剧影视导演专业、戏剧教育专业,1,42,63,68,南京市
2021,90007,六安,六安老年大学办公室,设备、财务管理,本科,自动化类、财务管理专业,1,36,81,79,芳县
2017,90008,六安,六安市霍邱县生态环境分局,环境管理,本科,环境科学与工程类,3,93,88,67,荣县
2016,90009,六安,六安市金安区生态环境分局,环境管理,本科,能源与环境系统工程专业、新能源科学与工程专业、储能科学与工程专业、化学专业,4,100,86,68,丽市
2015,90010,六安,六安市统计局,统计调查,研究生,经济学门类,1,1,92,72,香港市
2013,90011,六安,六安市供销合作社联合社,组织人事,本科,不限,1,50,85,76,娟县
2021,90012,六安,六安市红十字会,机关文秘,本科,中国语言文学类、新闻传播学类,4,85,67,78,丽市
2015,90013,六安,六安市发展和改革委员会（市粮食和物资储备局）市价格认证中心,价格认证,本科,财务管理专业、会计学专业、会计专业、审计学专业,4,119,87,77,海燕市
2022,90014,六安,六安市住房和城乡建设局市城市建设服务中心,城建管理,本科,土木工程专业、城乡规划专业、建筑学专业,3,126,61,81,斌市
2018,90015,六安,六安市农业农村局市农业综合开发中心,工程管理,本科,水利水电工程专业、农业水利工程专业、农业工程专业,1,1,59,74,兴安盟市
2020,90016,六安,六安市统计局市统计调查队,统计调查,研究生,经济学门类,3,132,74,69,玲市
2019,90017,六安,六安市医疗保障局市医疗保障基金管理中心,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,1,112,88,68,昆明县
2022,90018,六安,中共六安市金安区委党史和地方志研究室（区档案馆）,史志编研与档案管理,本科,计算机类、历史学专业、档案学专业、图书馆学专业,1,105,77,78,上海市
2014,90019,六安,中共六安市金安区委组织部区党员电化教育中心,党员电化教育,本科,中国语言文学类、行政管理专业,3,1,53,77,琳市
2014,90020,六安,中共六安市金安区委宣传部区文明建设指导中心,文字宣传,本科,新闻传播学类、中国语言文学类,3,1,68,75,兴安盟市
2018,90021,六安,金安区供销合作社联合社,农村经济管理,本科,经济学门类,1,40,84,82,兴安盟市
2013,90022,六安,金安区财政局区非税收入征收管理中心,财务管理,本科,经济学类、财政学类、金融学类、会计学专业、会计专业,1,21,86,78,嘉禾市
2013,90023,六安,金安区财政局区农村财政管理中心,财务管理,本科,经济学类、财政学类、金融学类、会计学专业、会计专业,1,93,70,79,秀芳县
2021,90024,六安,金安区水利局区水土保持中心,水利建设管理,本科,水利类、农业水利工程专业,2,1,47,63,上海市
2013,90025,六安,金安区卫生健康委员会区老龄事业发展中心,老龄服务,本科,公共卫生与预防医学类,1,116,74,74,巢湖市
2018,90026,六安,金安区审计局区经济责任审计中心,审计,本科,审计学专业、会计学专业、会计专业、财务管理专业,3,122,73,71,郑州县
2019,90027,六安,裕安区司法局,司法行政,本科,法学类,1,1,73,66,瑜市
2022,90028,六安,裕安区司法局,司法行政,本科,法学类,1,1,48,65,兴安盟市
2018,90029,六安,裕安区司法局,司法行政,本科,不限,2,1,58,69,平市
2019,90030,六安,裕安区司法局,司法行政,本科,会计学专业、会计专业、财务管理专业、审计学专业,1,114,61,72,哈尔滨县
2020,90031,六安,中共六安市叶集区委组织部区党员电化教育中心,机关文秘,本科,不限,4,72,60,72,丽市
2019,90032,六安,中共六安市叶集区委组织部区党员电化教育中心,机关文秘,本科,文学门类、理学门类、工学门类,4,24,91,70,宁德县
2014,90033,六安,叶集区市场监管局,市场监管,本科,不限,2,1,73,63,瑜市
2014,90034,六安,叶集区市场监管局,市场监管,本科,不限,1,1,72,69,佛山县
2017,90035,六安,叶集区司法局,司法行政,本科,法学类,4,39,54,68,志强县
2022,90036,六安,叶集区司法局,司法行政,本科,法学类,4,67,46,62,玲市
2016,90037,六安,中共霍邱县委组织部,机关文秘,本科,文学门类,1,1,50,69,郑州县
2021,90038,六安,中共霍邱县委宣传部,机关文秘,本科,中国语言文学类、新闻传播学类、思想政治教育专业,1,60,55,77,玲市
2014,90039,六安,中共霍邱县委统一战线工作部,机关文秘,本科,不限,1,107,76,74,丹丹市
2017,90040,六安,中共霍邱县委机构编制委员会办公室,机构编制管理,本科,不限,1,26,80,71,海燕市
2022,90041,六安,中共霍邱县委组织部县党员电化教育中心,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,4,1,82,68,嘉禾市
2022,90042,六安,霍邱县人民政府办公室,机关文秘,本科,中国语言文学类,1,43,48,68,燕县
2016,90043,六安,霍邱县人民政府办公室,政策法规,本科,法学类,4,1,61,69,海口市
2014,90044,六安,霍邱县教育局,教育管理,本科,管理科学专业、信息管理与信息系统专业、行政管理专业,1,119,71,72,兴安盟市
2014,90045,六安,霍邱县科学技术局,机关文秘,本科,中国语言文学类、外国语言文学类,3,23,81,74,俊市
2014,90046,六安,霍邱县经济和信息化局,经济管理,本科,经济学类,1,92,65,72,杰市
2018,90047,六安,霍邱县财政局,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,3,1,84,63,兴安盟市
2016,90048,六安,霍邱县司法局,行政复议,本科,法学类,3,1,53,75,巢湖市
2016,90049,六安,霍邱县司法局,机关文秘,本科,中国语言文学类,1,1,57,71,娟县
2019,90050,六安,霍邱县司法局,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,3,1,67,60,嘉禾市
2014,90051,六安,霍邱县人力资源和社会保障局,机关文秘,本科,中国语言文学类,1,107,85,74,芳县
2018,90052,六安,霍邱县住房和城乡建设局,机关文秘,本科,中国语言文学类,1,85,71,68,海口市
2018,90053,六安,霍邱县交通运输局,机关文秘,本科,中国语言文学类、新闻传播学类、思想政治教育专业、政治学与行政学专业,3,1,57,76,齐齐哈尔县
2014,90054,六安,霍邱县农业农村局,机关文秘,本科,中国语言文学类,3,1,54,71,巢湖市
2019,90055,六安,霍邱县水利局,组织人事,本科,中国语言文学类,1,1,83,74,志强县
2019,90056,六安,霍邱县文化旅游体育局,机关文秘,本科,文学门类,2,94,73,71,昆明县
2021,90057,六安,霍邱县卫生健康委员会,卫生健康管理,本科,公共事业管理专业、健康服务与管理专业、养老服务管理专业,3,1,62,78,志强县
2016,90058,六安,霍邱县卫生健康委员会,医政医管,本科,临床医学类,2,1,70,73,娟县
2013,90059,六安,霍邱县审计局,审计,本科,审计学专业、会计学专业、会计专业、财务管理专业,1,1,62,77,武汉市
2014,90060,六安,霍邱县市场监督管理局,市场监管,本科,法学类,1,1,53,59,平市
2019,90061,六安,霍邱县市场监督管理局,市场监管,本科,中国语言文学类,1,1,64,63,丽市
2014,90062,六安,霍邱县市场监督管理局,市场监管,本科,法学类,3,85,48,70,畅县
2016,90063,六安,霍邱县市场监督管理局,市场监管,本科,法学类,1,23,62,69,志强县
2021,90064,六安,霍邱县市场监督管理局,市场监管,本科,药学类,1,67,79,69,南京市
2014,90065,六安,霍邱县市场监督管理局,市场监管,本科,机械类,2,62,67,69,琳市
2021,90066,六安,霍邱县市场监督管理局,市场监管,本科,食品科学与工程专业、食品质量与安全专业、食品安全与检测专业,1,33,54,67,荣县
2020,90067,六安,霍邱县市场监督管理局,市场监管,本科,不限,1,155,48,83,齐齐哈尔市
2015,90068,六安,霍邱县市场监督管理局,市场监管,本科,不限,4,104,38,72,上海市
2014,90069,六安,霍邱县医疗保障局,医保基金监管,本科,法学专业、法律专业、医疗保险专业、保险学专业,3,2,59,69,琳市
2016,90070,六安,霍邱经济开发区管委会,机关文秘,本科,不限,2,115,70,68,嘉禾市
2017,90071,六安,霍邱县供销合作社联合社,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业、金融学专业,1,52,74,66,丹丹市
2013,90072,六安,中共舒城县纪律检查委员会舒城县监察委员会机关,纪检监察,本科,经济学类、金融学类、政治学类、中国语言文学类,4,28,68,77,南京市
2013,90073,六安,中共舒城县纪律检查委员会舒城县监察委员会机关,纪检监察,本科,法学类（不含特设专业）,4,72,49,72,西宁县
2014,90074,六安,中共舒城县委统一战线工作部,机关文秘,本科,马克思主义理论类、中国语言文学类,1,27,84,71,辛集市
2018,90075,六安,舒城县归国华侨联合会,机关文秘,本科,法学类、汉语言文学专业、秘书学专业,2,63,72,78,俊市
2013,90076,六安,舒城县档案馆,档案管理,本科,计算机类,1,1,50,78,斌市
2019,90077,六安,舒城县科学技术局,综合管理,本科,法学类（不含特设专业）,3,33,58,70,巢湖市
2019,90078,六安,舒城县民政局,信息技术,本科,计算机类,1,134,80,75,瑜市
2019,90079,六安,舒城县民政局,机关文秘,本科,中国语言文学类,1,80,89,66,辛集市
2019,90080,六安,舒城县司法局,司法行政,本科,不限,4,1,78,65,平市
2021,90081,六安,舒城县财政局,财务规划,本科,经济学类、金融学类,2,44,56,80,哈尔滨县
2016,90082,六安,舒城县财政局,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,6,40,78,69,海口市
2017,90083,六安,舒城县人力资源和社会保障局,机关文秘,本科,不限,5,8,61,68,斌市
2019,90084,六安,舒城县自然资源和规划局,政策法规,本科,法学类（不含特设专业）,1,3,61,67,上海县
2015,90085,六安,舒城县自然资源和规划局,土地资源管理,本科,地质学类、测绘类、土地资源管理专业、土地整治工程专业,4,9,68,73,瑜市
2022,90086,六安,舒城县住房和城乡建设局,城建管理,本科,土木类、交通工程专业,1,80,51,70,昆明县
2013,90087,六安,舒城县农业农村局,机关文秘,本科,中国语言文学类、新闻传播学类,3,35,56,80,西宁县
2013,90088,六安,舒城县农业农村局,综合管理,本科,农学门类,4,61,66,70,宁德县
2017,90089,六安,舒城县农业农村局,农业工程管理,本科,农业资源与环境专业、生物质科学与工程专业、农学专业,4,30,86,74,俊市
2019,90090,六安,舒城县水利局,工程管理,本科,土木类、水利水电工程专业、水务工程专业,3,1,84,73,俊市
2015,90091,六安,舒城县卫生健康委员会,信息管理,本科,计算机科学与技术专业、网络工程专业、软件工程专业,1,1,76,72,佛山县
2019,90092,六安,舒城县卫生健康委员会,卫生健康管理,本科,医学门类,3,1,59,69,丹丹市
2021,90093,六安,舒城县审计局,审计,本科,审计学专业、会计学专业、会计专业、财务管理专业,4,26,87,70,潜江县
