id,年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分
20,2015,30020,亳州,亳州市谯城区商务局药业发展促进中心,工业经济管理,本科,药学类、中药学类、生物制药专业、制药工程专业,1.0,1.0,57.0,72.0
21,2018,30021,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,5.0,133.0,51.0,75.0
22,2019,30022,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,6.0,1051.0,59.0,77.0
23,2019,30023,亳州,亳州市谯城区乡镇机关,综合管理,本科,中国语言文学类、新闻传播学类、法学类,5.0,110.0,49.0,69.0
24,2018,30024,亳州,亳州市谯城区乡镇机关,综合管理,本科,经济学类、金融学类、经济与贸易类、统计学类,5.0,73.0,68.0,72.0
25,2014,30025,亳州,亳州市谯城区乡镇机关,综合管理,本科,农业工程类、农业经济管理类、植物生产类,4.0,58.0,47.0,74.0
26,2019,30026,亳州,亳州市谯城区街道办事处,综合管理,本科,计算机类、电子信息类、中国语言文学类,6.0,195.0,55.0,72.0
27,2017,30027,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,1.0,135.0,78.0,73.0
28,2021,30028,亳州,谯城区乡镇机关,综合管理,本科,不限,1.0,47.0,74.0,67.0
29,2019,30029,亳州,涡阳县人大常委会机关,机关综合,本科,中国语言文学类、经济学类、法学类,1.0,107.0,62.0,78.0
30,2021,30030,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,4.0,86.0,49.0,65.0
31,2016,30031,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1.0,1.0,49.0,68.0
32,2022,30032,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,5.0,1.0,77.0,68.0
33,2013,30033,亳州,涡阳县人民法院,法官助理,本科,法学类（不含特设专业）,5.0,69.0,56.0,69.0
34,2015,30034,亳州,涡阳县人民法院,司法行政人员,本科,图书情报与档案管理类,1.0,68.0,74.0,72.0
35,2018,30035,亳州,涡阳县人民法院,司法行政人员,本科,不限,4.0,65.0,60.0,58.0
36,2022,30036,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,2.0,1.0,67.0,78.0
37,2013,30037,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,106.0,56.0,64.0
38,2016,30038,亳州,涡阳县人民检察院,司法行政,本科,不限,1.0,20.0,58.0,75.0
39,2016,30039,亳州,涡阳县人民政府办公室,综合文字,本科,法学类（不含特设专业）、经济学类、汉语言文学专业、秘书学专业、新闻学专业、行政管理专业,1.0,1.0,75.0,75.0
40,2022,30040,亳州,涡阳县经济和信息化局,工业经济管理,本科,经济学门类,1.0,1.0,68.0,78.0
41,2018,30041,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,8.0,105.0,69.0,77.0
42,2013,30042,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,7.0,919.0,75.0,79.0
43,2017,30043,亳州,亳州市谯城区乡镇机关,综合管理,本科,中国语言文学类、新闻传播学类、法学类,8.0,24.0,79.0,67.0
44,2016,30044,亳州,亳州市谯城区乡镇机关,综合管理,本科,经济学类、金融学类、经济与贸易类、统计学类,7.0,118.0,58.0,71.0
45,2013,30045,亳州,亳州市谯城区乡镇机关,综合管理,本科,农业工程类、农业经济管理类、植物生产类,8.0,76.0,66.0,69.0
46,2015,30046,亳州,亳州市谯城区街道办事处,综合管理,本科,计算机类、电子信息类、中国语言文学类,1.0,82.0,71.0,70.0
47,2016,30047,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,2.0,67.0,60.0,75.0
48,2016,30048,亳州,谯城区乡镇机关,综合管理,本科,不限,1.0,1.0,61.0,64.0
49,2015,30049,亳州,涡阳县人大常委会机关,机关综合,本科,中国语言文学类、经济学类、法学类,1.0,110.0,85.0,76.0
50,2020,30050,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,4.0,24.0,42.0,64.0
51,2018,30051,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1.0,44.0,58.0,70.0
52,2015,30052,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1.0,1.0,77.0,73.0
53,2022,30053,亳州,涡阳县人民法院,法官助理,本科,法学类（不含特设专业）,1.0,98.0,45.0,66.0
54,2014,30054,亳州,涡阳县人民法院,司法行政人员,本科,图书情报与档案管理类,1.0,1.0,53.0,75.0
55,2015,30055,亳州,涡阳县人民法院,司法行政人员,本科,不限,2.0,50.0,67.0,56.0
56,2019,30056,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,2.0,1.0,71.0,77.0
57,2019,30057,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,4.0,1.0,68.0,70.0
58,2017,30058,亳州,涡阳县人民检察院,司法行政,本科,不限,1.0,14.0,65.0,77.0
59,2016,30059,亳州,涡阳县人民政府办公室,综合文字,本科,法学类（不含特设专业）、经济学类、汉语言文学专业、秘书学专业、新闻学专业、行政管理专业,1.0,1.0,81.0,65.0
60,2015,30060,亳州,涡阳县经济和信息化局,工业经济管理,本科,经济学门类,3.0,23.0,70.0,77.0
61,2016,30061,亳州,涡阳县司法局,司法行政,本科,法学类（不含特设专业）,5.0,50.0,43.0,68.0
62,2013,30062,亳州,涡阳县街道机关,人武专干,专科,不限,3.0,18.0,72.0,66.0
63,2016,30063,亳州,涡阳县乡镇机关,人武专干,专科,不限,1.0,1.0,63.0,66.0
64,2017,30064,亳州,涡阳县街道机关,综合管理,本科,公共管理类,1.0,62.0,55.0,66.0
65,2017,30065,亳州,涡阳县街道机关,综合管理,本科,农学门类,1.0,1.0,84.0,72.0
66,2017,30066,亳州,涡阳县乡镇机关,综合管理,本科,不限,10.0,47.0,46.0,76.0
67,2015,30067,亳州,涡阳县乡镇机关,综合管理,专科,不限,5.0,404.0,88.0,75.0
68,2022,30068,亳州,涡阳县乡镇机关,综合管理,本科,不限,5.0,35.0,57.0,68.0
69,2020,30069,亳州,涡阳县乡镇机关,综合管理,本科,不限,1.0,173.0,55.0,79.0
70,2014,30070,亳州,中共蒙城县委办公室,机关综合,本科,工学门类、农学门类、法学门类、经济学门类、管理学门类、中国语言文学类,1.0,180.0,78.0,76.0
71,2021,30071,亳州,蒙城县人大常委会机关,机关综合,本科,中国语言文学类,1.0,1.0,62.0,69.0
72,2022,30072,亳州,中共蒙城县纪委监委机关,纪检监察,本科,法学专业、侦查学专业、经济犯罪侦查专业、技术侦查学专业,7.0,1.0,69.0,70.0
73,2017,30073,亳州,蒙城县人民法院,法官助理,本科,法学类（不含特设专业）,1.0,32.0,69.0,72.0
74,2014,30074,亳州,蒙城县人民法院,司法行政人员,本科,不限,1.0,1.0,65.0,64.0
75,2020,30075,亳州,蒙城县人民法院,司法行政人员,本科,会计学专业、财务管理专业、审计学专业、财务会计教育专业,1.0,50.0,59.0,61.0
76,2021,30076,亳州,蒙城县人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、罪犯心理测量与矫正技术专业、行政执行专业、戒毒矫治技术专业、司法信息安全专业、司法警务专业,3.0,1.0,51.0,62.0
77,2014,30077,亳州,蒙城县人民检察院,检察官助理,本科,法学类（不含特设专业）,3.0,79.0,69.0,75.0
78,2021,30078,亳州,蒙城县人民检察院,司法行政,本科,马克思主义理论类、中国语言文学类,3.0,1.0,56.0,64.0
79,2014,30079,亳州,蒙城县人民政府办公室,机关综合,本科,不限,1.0,85.0,81.0,78.0
80,2015,30080,亳州,蒙城县人民政府办公室,机关综合,本科,不限,1.0,1.0,76.0,69.0
81,2019,30081,亳州,蒙城县经济和信息化局,经济管理,本科,经济学类,1.0,52.0,68.0,66.0
82,2018,30082,亳州,蒙城县财政局,财政管理,本科,财政学类,1.0,1.0,58.0,73.0
83,2017,30083,亳州,蒙城县自然资源和规划局,机关综合,本科,不限,3.0,68.0,64.0,77.0
84,2014,30084,亳州,蒙城县农业农村局,政策法规宣传,本科,法学类（不含特设专业）,4.0,109.0,79.0,66.0
85,2015,30085,亳州,蒙城县农业农村局,农业经济管理,本科,农业经济管理类,1.0,1.0,52.0,75.0
86,2022,30086,亳州,蒙城县卫生健康委员会,卫生事务管理,本科,预防医学专业、妇幼保健医学专业、卫生监督专业、全球健康学专业,4.0,1.0,70.0,72.0
87,2016,30087,亳州,蒙城县应急管理局,法务管理,本科,法学类（不含特设专业）,1.0,1.0,52.0,73.0
88,2020,30088,亳州,蒙城县市场监督管理局,市场综合管理,本科,食品科学与工程类、药学专业、机械设计制造及其自动化专业、能源与动力工程专业,1.0,119.0,69.0,69.0
89,2020,30089,亳州,蒙城县市场监督管理局,市场监管,本科,法学类（不含特设专业）,4.0,40.0,47.0,62.0
90,2022,30090,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,3.0,125.0,71.0,78.0
91,2019,30091,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,1.0,118.0,75.0,78.0
92,2020,30092,亳州,蒙城县市场监督管理局,市场综合管理,本科,不限,3.0,1.0,49.0,73.0
93,2015,30093,亳州,蒙城县医疗保障局,政策法规宣传,本科,法学类（不含特设专业）,2.0,1.0,82.0,68.0
94,2021,30094,亳州,蒙城县公安局,人民警察,专科,不限,4.0,1.0,82.0,60.0
95,2022,30095,亳州,蒙城县机关事务管理中心,公务车辆管理,本科,车辆工程专业、汽车服务工程专业、汽车维修工程教育专业、新能源汽车工程专业,1.0,127.0,62.0,67.0
96,2013,30096,亳州,蒙城县机关事务管理中心,后勤服务,本科,旅游管理类,1.0,74.0,88.0,74.0
97,2020,30097,亳州,蒙城县应急管理局县救灾减灾中心,应急综合管理,本科,计算机科学与技术专业、软件工程专业、网络工程专业、电子与计算机工程专业,3.0,1.0,50.0,61.0
98,2016,30098,亳州,蒙城县财政局县非税收入征收管理服务中心,非税业务管理,本科,会计学专业、财务管理专业、审计学专业、人力资源管理专业,1.0,89.0,90.0,82.0
99,2021,30099,亳州,蒙城县农业农村局县农业机械事业发展中心,机关综合,本科,中国语言文学类、新闻学专业,1.0,63.0,51.0,79.0
100,2013,30100,亳州,蒙城县文化旅游体育局县文化事业发展中心,体育事业管理,本科,社会体育指导与管理专业、休闲体育专业、体育旅游专业、智能体育工程专业,3.0,47.0,81.0,65.0
101,2022,30101,亳州,蒙城县文化旅游体育局县文化事业发展中心,机关综合,本科,不限,3.0,71.0,76.0,76.0
102,2015,30102,亳州,蒙城县街道办事处,综合管理,本科,中国语言文学类,4.0,74.0,60.0,65.0
103,2013,30103,亳州,蒙城县街道办事处,综合管理,本科,农业经济管理类,1.0,1.0,53.0,69.0
104,2018,30104,亳州,蒙城县街道办事处,综合管理,本科,不限,1.0,1.0,51.0,72.0
105,2016,30105,亳州,蒙城县街道办事处,经济管理,本科,经济学门类、统计学专业、法学类（不含特设专业）,1.0,1.0,52.0,75.0
106,2016,30106,亳州,蒙城县乡镇机关,综合管理,本科,不限,4.0,1.0,47.0,68.0
107,2021,30107,亳州,蒙城县乡镇机关,综合管理,专科,不限,1.0,317.0,49.0,77.0
108,2015,30108,亳州,蒙城县乡镇机关,综合管理,本科,不限,2.0,308.0,61.0,80.0
109,2019,30109,亳州,蒙城县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,2.0,1.0,67.0,64.0
110,2013,30110,亳州,中共利辛县委办公室,机关综合,本科,汉语言文学类、公共管理类,1.0,90.0,71.0,68.0
111,2018,30111,亳州,中共利辛县纪委监委机关,纪检监察,本科,不限,1.0,108.0,73.0,64.0
112,2015,30112,亳州,中共利辛县纪委监委机关,纪检监察,本科,法学类（不含特设专业）,5.0,21.0,58.0,71.0
113,2021,30113,亳州,中共利辛县委巡察工作领导小组办公室,巡视巡察,本科,法学类（不含特设专业）、公共管理类,3.0,87.0,58.0,71.0
114,2014,30114,亳州,利辛县人民法院,法官助理,本科,法学类（不含特设专业）,2.0,101.0,63.0,75.0
115,2016,30115,亳州,利辛县人民法院,综合业务,本科,法学类（不含特设专业）,1.0,77.0,82.0,61.0
116,2020,30116,亳州,利辛县人民法院,司法行政人员,本科,不限,1.0,1.0,80.0,74.0
117,2022,30117,亳州,利辛县人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、罪犯心理测量与矫正技术专业、行政执行专业、戒毒矫治技术专业、司法信息安全专业、司法警务专业,2.0,9.0,75.0,73.0
118,2020,30118,亳州,利辛县人民检察院,检察官助理,本科,法学类（不含特设专业）,5.0,47.0,79.0,68.0
119,2017,30119,亳州,利辛县人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,1.0,64.0,69.0
120,2020,30120,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,5.0,35.0,49.0,68.0
121,2021,30121,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,1.0,48.0,47.0,62.0
122,2017,30122,亳州,利辛县司法局,司法行政,本科,法学类（不含特设专业）,5.0,41.0,79.0,63.0
123,2014,30123,亳州,利辛县司法局,信息管理,本科,计算机类、电子信息类,1.0,141.0,49.0,67.0
124,2016,30124,亳州,利辛县司法局,机关综合,本科,不限,4.0,21.0,79.0,75.0
125,2020,30125,亳州,利辛县公安局,法医★,本科,法医学类、临床医学专业,1.0,19.0,74.0,68.0
126,2021,30126,亳州,利辛县公安局,网络安全管理★,本科,网络空间安全专业、网络工程专业、软件工程专业、电子与计算机工程专业、信息工程专业,1.0,1.0,84.0,67.0
127,2019,30127,亳州,利辛县公安局,人民警察,本科,不限,5.0,144.0,73.0,80.0
128,2016,30128,亳州,利辛县公安局,人民警察,专科,不限,1.0,1.0,61.0,60.0
129,2021,30129,亳州,利辛县发展和改革委员会,经济管理,本科,经济学类,1.0,9.0,57.0,81.0
130,2021,30130,亳州,利辛县发展和改革委员会,经济管理,本科,不限,3.0,13.0,83.0,73.0
131,2019,30131,亳州,利辛县审计局,审计综合管理,本科,会计学专业、财务管理专业、审计学专业、财政学专业,3.0,20.0,60.0,82.0
132,2013,30132,亳州,利辛县市场监督管理局,市场监管,本科,食品科学与工程类,1.0,142.0,85.0,75.0
133,2020,30133,亳州,利辛县市场监督管理局,市场监管,本科,药学类、中药学类,5.0,43.0,69.0,77.0
134,2013,30134,亳州,利辛县市场监督管理局,市场监管,本科,机械类、电气类、材料类,1.0,210.0,63.0,75.0
135,2013,30135,亳州,利辛县市场监督管理局,市场监管,本科,不限,2.0,60.0,69.0,70.0
136,2018,30136,亳州,利辛县文化旅游体育局,行政管理,本科,管理学门类、汉语言文学专业、新闻学专业,1.0,60.0,64.0,75.0
137,2022,30137,亳州,利辛县数据资源管理局,信息系统管理,本科,计算机类,1.0,127.0,77.0,69.0
138,2014,30138,亳州,利辛县乡镇机关,村镇建设管理,专科,不限,8.0,61.0,58.0,65.0
139,2015,30139,亳州,利辛县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,2.0,111.0,48.0,69.0
140,2014,30140,亳州,利辛县乡镇机关,村镇建设管理,专科,不限,7.0,689.0,78.0,80.0
141,2020,30141,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,2.0,55.0,77.0,73.0
142,2017,30142,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,2.0,10.0,49.0,74.0
143,2019,30143,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,6.0,200.0,82.0,70.0
144,2021,30144,亳州,利辛县乡镇机关,村镇建设管理,本科,不限,8.0,123.0,56.0,71.0
145,2017,30145,亳州,谯城区乡镇机关,综合管理,高中（中专）,不限,2.0,1.0,0.0,0.0
146,2022,30146,亳州,蒙城县乡镇机关,综合管理,高中（中专）,不限,1.0,1.0,0.0,0.0
147,2013,90001,六安,中共六安市纪律检查委员会六安市监察委员会机关,执纪监督审查调查,本科,法学专业、法律专业、审计学专业、侦查学专业、经济犯罪侦查专业（具有法律职业资格证书A类的专业不限）,1.0,1.0,75.0,65.0
148,2019,90002,六安,中共六安市纪律检查委员会六安市监察委员会派驻（出）机构,执纪监督审查调查,本科,法学专业、法律专业、审计学专业、侦查学专业、经济犯罪侦查专业（具有法律职业资格证书A类的专业不限）,1.0,1.0,51.0,76.0
149,2019,90003,六安,六安市政协办公室,机关文秘,本科,哲学门类、文学门类、历史学门类、管理学门类、经济学门类、工学门类,3.0,216.0,87.0,71.0
150,2019,90004,六安,中国农工民主党六安市委员会,机关文秘,本科,不限,3.0,197.0,60.0,78.0
151,2013,90005,六安,六安老年大学办公室,教务管理,本科,广播电视编导专业、舞蹈编导专业、戏剧影视文学专业,1.0,163.0,50.0,75.0
152,2018,90006,六安,六安老年大学办公室,教务管理,本科,戏剧学专业、戏剧影视导演专业、戏剧教育专业,1.0,42.0,63.0,68.0
153,2021,90007,六安,六安老年大学办公室,设备、财务管理,本科,自动化类、财务管理专业,1.0,36.0,81.0,79.0
154,2017,90008,六安,六安市霍邱县生态环境分局,环境管理,本科,环境科学与工程类,3.0,93.0,88.0,67.0
155,2016,90009,六安,六安市金安区生态环境分局,环境管理,本科,能源与环境系统工程专业、新能源科学与工程专业、储能科学与工程专业、化学专业,4.0,100.0,86.0,68.0
156,2015,90010,六安,六安市统计局,统计调查,研究生,经济学门类,1.0,1.0,92.0,72.0
157,2013,90011,六安,六安市供销合作社联合社,组织人事,本科,不限,1.0,50.0,85.0,76.0
158,2021,90012,六安,六安市红十字会,机关文秘,本科,中国语言文学类、新闻传播学类,4.0,85.0,67.0,78.0
159,2015,90013,六安,六安市发展和改革委员会（市粮食和物资储备局）市价格认证中心,价格认证,本科,财务管理专业、会计学专业、会计专业、审计学专业,4.0,119.0,87.0,77.0
160,2022,90014,六安,六安市住房和城乡建设局市城市建设服务中心,城建管理,本科,土木工程专业、城乡规划专业、建筑学专业,3.0,126.0,61.0,81.0
161,2018,90015,六安,六安市农业农村局市农业综合开发中心,工程管理,本科,水利水电工程专业、农业水利工程专业、农业工程专业,1.0,1.0,59.0,74.0
162,2020,90016,六安,六安市统计局市统计调查队,统计调查,研究生,经济学门类,3.0,132.0,74.0,69.0
163,2019,90017,六安,六安市医疗保障局市医疗保障基金管理中心,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,1.0,112.0,88.0,68.0
164,2022,90018,六安,中共六安市金安区委党史和地方志研究室（区档案馆）,史志编研与档案管理,本科,计算机类、历史学专业、档案学专业、图书馆学专业,1.0,105.0,77.0,78.0
165,2014,90019,六安,中共六安市金安区委组织部区党员电化教育中心,党员电化教育,本科,中国语言文学类、行政管理专业,3.0,1.0,53.0,77.0
166,2014,90020,六安,中共六安市金安区委宣传部区文明建设指导中心,文字宣传,本科,新闻传播学类、中国语言文学类,3.0,1.0,68.0,75.0
167,2018,90021,六安,金安区供销合作社联合社,农村经济管理,本科,经济学门类,1.0,40.0,84.0,82.0
168,2013,90022,六安,金安区财政局区非税收入征收管理中心,财务管理,本科,经济学类、财政学类、金融学类、会计学专业、会计专业,1.0,21.0,86.0,78.0
169,2013,90023,六安,金安区财政局区农村财政管理中心,财务管理,本科,经济学类、财政学类、金融学类、会计学专业、会计专业,1.0,93.0,70.0,79.0
170,2021,90024,六安,金安区水利局区水土保持中心,水利建设管理,本科,水利类、农业水利工程专业,2.0,1.0,47.0,63.0
171,2013,90025,六安,金安区卫生健康委员会区老龄事业发展中心,老龄服务,本科,公共卫生与预防医学类,1.0,116.0,74.0,74.0
172,2018,90026,六安,金安区审计局区经济责任审计中心,审计,本科,审计学专业、会计学专业、会计专业、财务管理专业,3.0,122.0,73.0,71.0
173,2019,90027,六安,裕安区司法局,司法行政,本科,法学类,1.0,1.0,73.0,66.0
174,2022,90028,六安,裕安区司法局,司法行政,本科,法学类,1.0,1.0,48.0,65.0
175,2018,90029,六安,裕安区司法局,司法行政,本科,不限,2.0,1.0,58.0,69.0
176,2019,90030,六安,裕安区司法局,司法行政,本科,会计学专业、会计专业、财务管理专业、审计学专业,1.0,114.0,61.0,72.0
177,2020,90031,六安,中共六安市叶集区委组织部区党员电化教育中心,机关文秘,本科,不限,4.0,72.0,60.0,72.0
178,2019,90032,六安,中共六安市叶集区委组织部区党员电化教育中心,机关文秘,本科,文学门类、理学门类、工学门类,4.0,24.0,91.0,70.0
179,2014,90033,六安,叶集区市场监管局,市场监管,本科,不限,2.0,1.0,73.0,63.0
180,2014,90034,六安,叶集区市场监管局,市场监管,本科,不限,1.0,1.0,72.0,69.0
181,2017,90035,六安,叶集区司法局,司法行政,本科,法学类,4.0,39.0,54.0,68.0
182,2022,90036,六安,叶集区司法局,司法行政,本科,法学类,4.0,67.0,46.0,62.0
183,2016,90037,六安,中共霍邱县委组织部,机关文秘,本科,文学门类,1.0,1.0,50.0,69.0
184,2021,90038,六安,中共霍邱县委宣传部,机关文秘,本科,中国语言文学类、新闻传播学类、思想政治教育专业,1.0,60.0,55.0,77.0
185,2014,90039,六安,中共霍邱县委统一战线工作部,机关文秘,本科,不限,1.0,107.0,76.0,74.0
186,2017,90040,六安,中共霍邱县委机构编制委员会办公室,机构编制管理,本科,不限,1.0,26.0,80.0,71.0
187,2022,90041,六安,中共霍邱县委组织部县党员电化教育中心,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,4.0,1.0,82.0,68.0
188,2022,90042,六安,霍邱县人民政府办公室,机关文秘,本科,中国语言文学类,1.0,43.0,48.0,68.0
189,2016,90043,六安,霍邱县人民政府办公室,政策法规,本科,法学类,4.0,1.0,61.0,69.0
190,2014,90044,六安,霍邱县教育局,教育管理,本科,管理科学专业、信息管理与信息系统专业、行政管理专业,1.0,119.0,71.0,72.0
191,2014,90045,六安,霍邱县科学技术局,机关文秘,本科,中国语言文学类、外国语言文学类,3.0,23.0,81.0,74.0
192,2014,90046,六安,霍邱县经济和信息化局,经济管理,本科,经济学类,1.0,92.0,65.0,72.0
193,2018,90047,六安,霍邱县财政局,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,3.0,1.0,84.0,63.0
194,2016,90048,六安,霍邱县司法局,行政复议,本科,法学类,3.0,1.0,53.0,75.0
195,2016,90049,六安,霍邱县司法局,机关文秘,本科,中国语言文学类,1.0,1.0,57.0,71.0
196,2019,90050,六安,霍邱县司法局,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业,3.0,1.0,67.0,60.0
197,2014,90051,六安,霍邱县人力资源和社会保障局,机关文秘,本科,中国语言文学类,1.0,107.0,85.0,74.0
198,2018,90052,六安,霍邱县住房和城乡建设局,机关文秘,本科,中国语言文学类,1.0,85.0,71.0,68.0
199,2018,90053,六安,霍邱县交通运输局,机关文秘,本科,中国语言文学类、新闻传播学类、思想政治教育专业、政治学与行政学专业,3.0,1.0,57.0,76.0
200,2014,90054,六安,霍邱县农业农村局,机关文秘,本科,中国语言文学类,3.0,1.0,54.0,71.0
201,2019,90055,六安,霍邱县水利局,组织人事,本科,中国语言文学类,1.0,1.0,83.0,74.0
202,2019,90056,六安,霍邱县文化旅游体育局,机关文秘,本科,文学门类,2.0,94.0,73.0,71.0
203,2021,90057,六安,霍邱县卫生健康委员会,卫生健康管理,本科,公共事业管理专业、健康服务与管理专业、养老服务管理专业,3.0,1.0,62.0,78.0
204,2016,90058,六安,霍邱县卫生健康委员会,医政医管,本科,临床医学类,2.0,1.0,70.0,73.0
205,2013,90059,六安,霍邱县审计局,审计,本科,审计学专业、会计学专业、会计专业、财务管理专业,1.0,1.0,62.0,77.0
206,2014,90060,六安,霍邱县市场监督管理局,市场监管,本科,法学类,1.0,1.0,53.0,59.0
207,2019,90061,六安,霍邱县市场监督管理局,市场监管,本科,中国语言文学类,1.0,1.0,64.0,63.0
208,2014,90062,六安,霍邱县市场监督管理局,市场监管,本科,法学类,3.0,85.0,48.0,70.0
209,2016,90063,六安,霍邱县市场监督管理局,市场监管,本科,法学类,1.0,23.0,62.0,69.0
210,2021,90064,六安,霍邱县市场监督管理局,市场监管,本科,药学类,1.0,67.0,79.0,69.0
211,2014,90065,六安,霍邱县市场监督管理局,市场监管,本科,机械类,2.0,62.0,67.0,69.0
212,2021,90066,六安,霍邱县市场监督管理局,市场监管,本科,食品科学与工程专业、食品质量与安全专业、食品安全与检测专业,1.0,33.0,54.0,67.0
213,2020,90067,六安,霍邱县市场监督管理局,市场监管,本科,不限,1.0,155.0,48.0,83.0
214,2015,90068,六安,霍邱县市场监督管理局,市场监管,本科,不限,4.0,104.0,38.0,72.0
215,2014,90069,六安,霍邱县医疗保障局,医保基金监管,本科,法学专业、法律专业、医疗保险专业、保险学专业,3.0,2.0,59.0,69.0
216,2016,90070,六安,霍邱经济开发区管委会,机关文秘,本科,不限,2.0,115.0,70.0,68.0
217,2017,90071,六安,霍邱县供销合作社联合社,财务管理,本科,会计学专业、会计专业、财务管理专业、审计学专业、金融学专业,1.0,52.0,74.0,66.0
218,2013,90072,六安,中共舒城县纪律检查委员会舒城县监察委员会机关,纪检监察,本科,经济学类、金融学类、政治学类、中国语言文学类,4.0,28.0,68.0,77.0
